                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8744,                 4.0001,                 4.2476,                 0.0023,                0.08315,                0.00142,                0.00026,                 1.5249,                 3.7438,                 4.1165,                 0.0793,                 0.0023,                 0.0023
                      2,                 2.0269,                 3.7942,                 4.1769,                0.00268,                 0.0812,                0.00197,                0.00035,                 1.5274,                 3.6784,                 4.0852,               0.057677,              0.0046767,              0.0046767
                      3,                 2.1417,                 3.5917,                 4.1213,                0.00482,                 0.1064,                0.00328,                0.00067,                 1.5224,                 3.6314,                 4.0601,                0.03603,              0.0070297,              0.0070297
                      4,                  2.285,                 3.4621,                 4.0578,                0.00389,                 0.1248,                0.00422,                0.00089,                 1.5137,                  3.656,                 4.0363,               0.014359,              0.0093589,              0.0093589
                      5,                 2.3687,                 3.2793,                 3.9713,                0.53063,                0.05669,                0.02477,                0.00618,                 1.4411,                 3.8759,                 4.2628,               0.009802,               0.009802,               0.009802
                      6,                 2.4456,                 3.0767,                 3.8207,                0.54489,                0.06585,                0.03625,                 0.0098,                 1.4187,                 12.671,                  4.608,               0.009802,               0.009802,               0.009802
                      7,                 2.3929,                 2.8933,                 3.6233,                0.03244,                0.37206,                0.03749,                0.01005,                 1.4625,                    inf,                 5.7469,              0.0097525,              0.0097525,              0.0097525
                      8,                 2.2582,                 2.8123,                 3.4548,                0.01798,                0.26871,                0.02316,                0.00644,                 1.4337,                 7.7785,                 5.2531,               0.009703,               0.009703,               0.009703
                      9,                 2.0865,                  2.704,                  3.256,                0.54302,                0.14496,                0.06255,                0.02005,                 1.4288,                  18.58,                 4.7833,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.9264,                 2.6344,                 3.0984,                0.08784,                0.09625,                0.05775,                0.02095,                 1.2159,                  3.609,                 3.3979,               0.009604,               0.009604,               0.009604
                     11,                 1.8204,                 2.5447,                 2.9683,                0.32816,                0.13021,                0.06132,                 0.0238,                0.98299,                 3.2638,                 3.0097,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.7735,                  2.459,                 2.8807,                 0.0633,                0.22971,                0.04414,                0.01607,                0.87003,                 3.3987,                 2.8782,               0.009505,               0.009505,               0.009505
                     13,                 1.7251,                 2.3811,                 2.8064,                0.11029,                0.22784,                0.06566,                0.02523,                0.90071,                 3.2788,                 2.9068,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.6612,                 2.2994,                 2.7024,                0.10907,                0.18463,                0.07932,                0.02932,                  0.867,                 3.3168,                 2.7912,               0.009406,               0.009406,               0.009406
