                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2151,                 3.8892,                 4.1878,                0.00358,                0.08162,                 0.0034,                 0.0007,                  2.897,                 3.6549,                  4.053,                 0.0784,                 0.0024,                 0.0024
                      2,                  3.277,                 3.3801,                 4.0291,                0.00087,                0.03662,                0.00055,                0.00016,                 2.9025,                 3.6889,                 3.9842,               0.055876,              0.0048757,              0.0048757
                      3,                 3.2143,                 3.1734,                 3.8965,                0.00149,                0.06303,                0.00177,                0.00046,                 2.9111,                 3.6189,                 3.9315,               0.033327,              0.0073267,              0.0073267
                      4,                 3.1803,                 2.9327,                 3.7678,                0.60792,                0.08076,                0.04759,                0.01248,                 2.8392,                 3.2206,                 3.7659,               0.010753,               0.009753,               0.009753
                      5,                 2.9975,                 2.7496,                 3.5825,                0.01604,                0.31753,                0.01201,                0.00321,                 2.9846,                    inf,                 13.834,               0.009802,               0.009802,               0.009802
                      6,                 2.7438,                 2.6335,                   3.35,                0.01161,                0.15175,                0.00773,                0.00229,                  3.215,                    inf,                 18.818,               0.009802,               0.009802,               0.009802
                      7,                 2.5647,                 2.5267,                 3.1869,                0.32338,                0.11394,                0.06894,                0.02016,                 2.7868,                 6.2074,                 5.2734,              0.0097525,              0.0097525,              0.0097525
                      8,                 2.4328,                  2.468,                 3.0561,                0.03899,                  0.169,                0.03934,                0.01262,                 2.2245,                 3.4837,                 3.1328,               0.009703,               0.009703,               0.009703
                      9,                 2.3485,                 2.3452,                 2.9634,                0.28854,                0.05893,                0.04231,                0.01335,                 2.4932,                 4.4201,                 3.2202,              0.0096535,              0.0096535,              0.0096535
                     10,                 2.2267,                 2.2828,                 2.8515,                0.18333,                0.22106,                0.12736,                0.04709,                 2.1633,                 3.2931,                 2.9619,               0.009604,               0.009604,               0.009604
                     11,                 2.1153,                 2.2114,                  2.758,                0.28097,                0.34566,                0.23594,                0.08286,                 2.1081,                 2.7321,                 2.8815,              0.0095545,              0.0095545,              0.0095545
                     12,                 2.0468,                 2.1372,                 2.6904,                0.25446,                0.33226,                0.23217,                0.08904,                  1.906,                 2.4941,                 2.7153,               0.009505,               0.009505,               0.009505
                     13,                 1.9569,                 2.0433,                 2.6012,                0.33894,                0.33435,                 0.2839,                0.10088,                 2.0866,                 2.7185,                 2.8586,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.8458,                 1.9401,                 2.5125,                0.22001,                0.31352,                0.16728,                0.05703,                 2.1347,                 3.0702,                 2.9129,               0.009406,               0.009406,               0.009406
                     15,                 1.8109,                 1.8872,                 2.4754,                0.37563,                0.40042,                0.31662,                0.13369,                 1.8603,                 2.3254,                  2.654,              0.0093565,              0.0093565,              0.0093565
                     16,                  1.759,                 1.8195,                 2.4085,                0.41951,                0.54296,                0.43011,                0.19602,                  1.681,                 2.1967,                 2.4222,               0.009307,               0.009307,               0.009307
                     17,                 1.7237,                 1.7837,                 2.3641,                0.46931,                0.57439,                0.50385,                0.25149,                 1.6179,                 1.9368,                 2.3861,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6774,                 1.7362,                 2.3174,                0.36872,                0.58058,                0.44819,                0.22262,                 1.5725,                 2.0212,                 2.3663,               0.009208,               0.009208,               0.009208
                     19,                  1.642,                 1.6678,                 2.2709,                0.51918,                0.55818,                  0.538,                0.28249,                  1.638,                   1.78,                  2.435,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.5553,                 1.6263,                 2.1952,                0.54902,                0.53499,                0.53653,                 0.2867,                 1.5563,                 1.7506,                 2.3546,               0.009109,               0.009109,               0.009109
                     21,                 1.5383,                 1.5754,                 2.1749,                0.51058,                0.64328,                0.56771,                0.32019,                 1.4534,                 1.6833,                 2.2466,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.4948,                 1.5278,                 2.1264,                0.55368,                0.61977,                 0.5835,                0.33388,                 1.4414,                 1.6344,                 2.2466,                0.00901,                0.00901,                0.00901
                     23,                 1.4578,                 1.5086,                 2.0885,                 0.5292,                0.59346,                0.57124,                0.34304,                 1.4929,                 1.6274,                 2.2243,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.4367,                  1.482,                 2.0726,                 0.5651,                0.64999,                0.59169,                0.32272,                 1.4816,                 1.6848,                 2.2676,               0.008911,               0.008911,               0.008911
                     25,                 1.4194,                 1.4592,                 2.0442,                0.56438,                0.63905,                0.64295,                0.38907,                 1.3777,                 1.5625,                 2.1351,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.4007,                 1.4436,                 2.0312,                0.57271,                0.62985,                0.64353,                 0.3937,                 1.3363,                 1.5718,                 2.1214,               0.008812,               0.008812,               0.008812
                     27,                 1.3491,                 1.4017,                 1.9815,                0.62909,                0.63931,                0.66543,                0.41332,                  1.344,                 1.4237,                 2.1179,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.3202,                  1.377,                   1.95,                0.63562,                0.62694,                 0.6704,                0.43598,                 1.2473,                 1.4738,                 1.9969,               0.008713,               0.008713,               0.008713
                     29,                 1.3156,                 1.3451,                 1.9333,                0.61188,                 0.6481,                0.69249,                0.42971,                 1.3062,                 1.4742,                 2.0535,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.2848,                 1.3153,                 1.9029,                0.77047,                0.57358,                0.71619,                0.47814,                 1.2141,                 1.3713,                 1.9626,               0.008614,               0.008614,               0.008614
                     31,                 1.2548,                 1.2634,                 1.8836,                0.75283,                0.57126,                0.72773,                0.47795,                 1.2169,                 1.2935,                 1.9774,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.2715,                 1.3031,                 1.8932,                0.61022,                0.69775,                0.71512,                0.48361,                 1.1615,                 1.2697,                 1.8692,               0.008515,               0.008515,               0.008515
                     33,                  1.239,                 1.2464,                 1.8534,                 0.6463,                 0.6332,                0.70224,                0.45262,                 1.2453,                 1.4492,                 1.9171,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.2133,                 1.2254,                 1.8282,                 0.7263,                0.69526,                 0.7619,                0.52012,                 1.1337,                 1.2228,                 1.8258,               0.008416,               0.008416,               0.008416
                     35,                 1.2317,                 1.2352,                 1.8363,                0.72361,                0.64339,                0.75744,                0.49584,                 1.2478,                 1.2457,                 1.8855,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.1689,                 1.1713,                 1.7758,                0.75086,                 0.6795,                0.78187,                0.53578,                 1.1786,                 1.2019,                 1.8213,               0.008317,               0.008317,               0.008317
                     37,                 1.1808,                 1.1786,                 1.7774,                0.69312,                0.71723,                0.75706,                0.52103,                  1.107,                 1.1873,                 1.7785,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.1722,                 1.1749,                 1.7828,                 0.7575,                0.69664,                0.78929,                0.55113,                 1.0623,                 1.1431,                   1.76,               0.008218,               0.008218,               0.008218
                     39,                 1.1481,                 1.1497,                 1.7541,                0.67721,                0.72834,                0.76111,                0.53064,                 1.0761,                 1.2129,                 1.7906,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.1401,                  1.139,                 1.7432,                0.70715,                0.66175,                0.76241,                0.53779,                 1.0415,                 1.1973,                 1.7479,               0.008119,               0.008119,               0.008119
                     41,                 1.1099,                 1.1126,                 1.7165,                0.73042,                0.69989,                0.78316,                0.53199,                 1.1262,                 1.2084,                 1.8118,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.1154,                 1.0874,                  1.708,                0.71735,                 0.6579,                0.76294,                0.52308,                 1.0461,                 1.1567,                 1.7377,                0.00802,                0.00802,                0.00802
                     43,                 1.1168,                 1.0973,                 1.7134,                0.65144,                0.73569,                0.78576,                0.53453,                 1.0417,                 1.1505,                 1.7344,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.0793,                 1.0729,                 1.6936,                 0.6171,                0.74201,                0.74097,                0.51321,                 1.0447,                 1.1704,                 1.7209,               0.007921,               0.007921,               0.007921
                     45,                  1.078,                 1.0537,                 1.6693,                0.69663,                 0.6914,                0.77204,                0.53107,                  1.101,                 1.1784,                 1.7794,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.0814,                 1.0551,                 1.6794,                0.66425,                0.76878,                0.79606,                0.55583,                0.98482,                 1.0465,                 1.6904,               0.007822,               0.007822,               0.007822
                     47,                 1.0702,                 1.0546,                 1.6707,                0.75712,                0.68346,                0.78173,                0.54875,                0.98869,                 1.0571,                 1.6808,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.0816,                 1.0373,                 1.6669,                0.72009,                0.76877,                0.79332,                0.55463,                 1.0047,                 1.0157,                 1.6783,               0.007723,               0.007723,               0.007723
                     49,                 1.0511,                 0.9924,                 1.6386,                0.73358,                0.76554,                0.83088,                0.58815,                 1.0157,                 0.9506,                 1.6593,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.0503,                 1.0139,                  1.642,                0.78736,                0.68671,                0.80983,                0.56671,                 1.0097,                 1.0614,                 1.6602,               0.007624,               0.007624,               0.007624
                     51,                 1.0291,                0.99373,                 1.6249,                 0.6953,                0.78233,                0.81588,                0.58333,                0.94351,                 1.0123,                 1.6301,              0.0075745,              0.0075745,              0.0075745
                     52,                  1.042,                0.99725,                 1.6277,                0.71784,                0.74616,                0.81086,                0.57649,                0.95964,                0.99077,                 1.6271,               0.007525,               0.007525,               0.007525
